preference_key,movie_title,star_cast,rating,year,place,vote,link
3,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.046418242494536,1976,211,,/title/tt0075148/
4,Pelotón,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.046042513986613,1986,212,,/title/tt0091763/
1,La canción del camino,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.04109152876727,1955,213,,/title/tt0048473/
2,Todo En Todas Partes Al Mismo Tiempo,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",8.040709910503415,2022,214,,/title/tt6710474/
3,Cuenta conmigo,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.04043420760131,1986,215,,/title/tt0092005/
4,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.040161082281653,1984,216,,/title/tt0088247/
1,En primera plana,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.03999540248966,2015,217,,/title/tt1895587/
2,Rush: Pasión y gloria,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.037797416127924,2013,218,,/title/tt1979320/
3,Logan: Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.037717822817443,2017,219,,/title/tt3315342/
4,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.036995255491195,2007,220,,/title/tt0382932/
1,Poder que mata,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.036422437787088,1976,221,,/title/tt0074958/
2,Camino salvaje,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.034962585009485,2007,222,,/title/tt0758758/
3,El mago de Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.032600687072044,1939,223,,/title/tt0032138/
4,Antes del atardecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.030651715392558,2004,224,,/title/tt0381681/
1,Hechizo del tiempo,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.029508759368783,1993,225,,/title/tt0107048/
2,El exorcista,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.027084108662738,1973,226,,/title/tt0070047/
3,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.02555152290513,2021,227,,/title/tt15097216/
4,Los mejores años de nuestras vidas,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.025486641982926,1946,228,,/title/tt0036868/
1,Ser o no ser,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.025475407288658,1942,229,,/title/tt0035446/
2,Los increíbles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.025117679201532,2004,230,,/title/tt0317705/
3,La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.024279012690444,1966,231,,/title/tt0058946/
4,Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.02223363324857,2009,232,,/title/tt1028532/
1,Las viñas de la ira,"John Ford (dir.), Henry Fonda, Jane Darwell",8.021565435447215,1940,233,,/title/tt0032551/
2,"Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.02132360407838,1940,234,,/title/tt0032976/
3,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.021158851621381,2000,235,,/title/tt0245712/
4,Babam ve Oglum,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.02113724548406,2005,236,,/title/tt0476735/
1,Piratas del Caribe - La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.020954342067657,2003,237,,/title/tt0325980/
2,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.020420923548416,1995,238,,/title/tt0113247/
3,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.02003871121083,1967,239,,/title/tt0061512/
4,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.01631412693401,1959,240,,/title/tt0053198/
1,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.015204357244492,1966,241,,/title/tt0060827/
2,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.013455745955687,1934,242,,/title/tt0025316/
3,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.013449967849322,2016,243,,/title/tt4016934/
4,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.01261291271225,1965,244,,/title/tt0059742/
1,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.012592032504122,1979,245,,/title/tt0079470/
2,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.009086750502194,1975,246,,/title/tt0071411/
3,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.005161348333376,1982,247,,/title/tt0083987/
4,Historias cruzadas,"Tate Taylor (dir.), Viola Davis, Emma Stone",8.005153875689228,2011,248,,/title/tt1454029/
1,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.00483090999335,1992,249,,/title/tt0103639/
2,El gigante de hierro,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8.00372418713531,1999,250,,/title/tt0129167/
